win_rate,method,Depth,feature_val
0.74,minimax,two,two
0.74,minimax,two,two
0.8,minimax,two,two
0.77,minimax,three,two
0.78,minimax,three,two
0.75,minimax,three,two
0.8,minimax,four,two
0.79,minimax,four,two
0.79,minimax,four,two
0.62,a-b pruning,two,two
0.63,a-b pruning,two,two
0.61,a-b pruning,two,two
0.59,a-b pruning,three,two
0.61,a-b pruning,three,two
0.64,a-b pruning,three,two
0.65,a-b pruning,four,two
0.69,a-b pruning,four,two
0.68,a-b pruning,four,two
0.18,expectimax,two,two
0.15,expectimax,two,two
0.16,expectimax,two,two
0.41,expectimax,three,two
0.41,expectimax,three,two
0.41,expectimax,three,two
0.42,expectimax,four,two
0.44,expectimax,four,two
0.46,expectimax,four,two
0.88,minimax,two,four
0.92,minimax,two,four
0.9,minimax,two,four
0.95,minimax,three,four
0.91,minimax,three,four
0.94,minimax,three,four
0.9,minimax,four,four
0.94,minimax,four,four
0.94,minimax,four,four
0.86,a-b pruning,two,four
0.91,a-b pruning,two,four
0.91,a-b pruning,two,four
0.92,a-b pruning,three,four
0.9,a-b pruning,three,four
0.91,a-b pruning,three,four
0.88,a-b pruning,four,four
0.92,a-b pruning,four,four
0.9,a-b pruning,four,four
0.92,expectimax,two,four
0.93,expectimax,two,four
0.89,expectimax,two,four
0.94,expectimax,three,four
0.94,expectimax,three,four
0.95,expectimax,three,four
0.94,expectimax,four,four
0.93,expectimax,four,four
0.95,expectimax,four,four
0.91,minimax,two,six
0.89,minimax,two,six
0.89,minimax,two,six
0.93,minimax,three,six
0.94,minimax,three,six
0.9,minimax,three,six
0.94,minimax,four,six
0.93,minimax,four,six
0.94,minimax,four,six
0.9,a-b pruning,two,six
0.91,a-b pruning,two,six
0.88,a-b pruning,two,six
0.93,a-b pruning,three,six
0.95,a-b pruning,three,six
0.92,a-b pruning,three,six
0.92,a-b pruning,four,six
0.91,a-b pruning,four,six
0.92,a-b pruning,four,six
0.91,expectimax,two,six
0.91,expectimax,two,six
0.89,expectimax,two,six
0.93,expectimax,three,six
0.93,expectimax,three,six
0.95,expectimax,three,six
0.94,expectimax,four,six
0.94,expectimax,four,six
0.94,expectimax,four,six
