scores,method,Depth,feature_val
1275,minimax,two,two
1283.616,minimax,two,two
1391.426,minimax,two,two
1378,minimax,three,two
1355.874,minimax,three,two
1328,minimax,three,two
1460,minimax,four,two
1448.594,minimax,four,two
1441.714,minimax,four,two
1159.008,a-b pruning,two,two
1163,a-b pruning,two,two
1124,a-b pruning,two,two
1125,a-b pruning,three,two
1112.724,a-b pruning,three,two
1179.256,a-b pruning,three,two
1256.284,a-b pruning,four,two
1302.186,a-b pruning,four,two
1301.666,a-b pruning,four,two
-460.456,expectimax,two,two
-515.57,expectimax,two,two
-546.086,expectimax,two,two
98.51,expectimax,three,two
163.774,expectimax,three,two
112.482,expectimax,three,two
367.11,expectimax,four,two
363.322,expectimax,four,two
390.626,expectimax,four,two
1539.484,minimax,two,four
1598.66,minimax,two,four
1568.262,minimax,two,four
1734.632,minimax,three,four
1664.766,minimax,three,four
1713.47,minimax,three,four
1722,minimax,four,four
1775.956,minimax,four,four
1799.152,minimax,four,four
1528.574,a-b pruning,two,four
1581.994,a-b pruning,two,four
1581.78,a-b pruning,two,four
1680.795,a-b pruning,three,four
1659.594,a-b pruning,three,four
1667.752,a-b pruning,three,four
1705,a-b pruning,four,four
1743.826,a-b pruning,four,four
1739.064,a-b pruning,four,four
1561.656,expectimax,two,four
1581.026,expectimax,two,four
1531.822,expectimax,two,four
1687.428,expectimax,three,four
1692.37,expectimax,three,four
1712.146,expectimax,three,four
1745.518,expectimax,four,four
1720.642,expectimax,four,four
1759.918,expectimax,four,four
1546.446,minimax,two,six
1512.246,minimax,two,six
1533.632,minimax,two,six
1707.968,minimax,three,six
1730.51,minimax,three,six
1678.124,minimax,three,six
1776.178,minimax,four,six
1759.204,minimax,four,six
1786.106,minimax,four,six
1522.956,a-b pruning,two,six
1560.53,a-b pruning,two,six
1517.626,a-b pruning,two,six
1711.784,a-b pruning,three,six
1731.198,a-b pruning,three,six
1680.48,a-b pruning,three,six
1775.458,a-b pruning,four,six
1769.648,a-b pruning,four,six
1755.564,a-b pruning,four,six
1524.95,expectimax,two,six
1499.476,expectimax,two,six
1497.636,expectimax,two,six
1868,expectimax,three,six
1688.006,expectimax,three,six
1728.266,expectimax,three,six
1739.192,expectimax,four,six
1741.818,expectimax,four,six
1742.374,expectimax,four,six
