scores,method,Depth,feature_val
1539.484,minimax,two,four
1598.66,minimax,two,four
1568.262,minimax,two,four
1734.632,minimax,three,four
1664.766,minimax,three,four
1713.47,minimax,three,four
1722,minimax,four,four
1775.956,minimax,four,four
1799.152,minimax,four,four
1528.574,a-b pruning,two,four
1581.994,a-b pruning,two,four
1581.78,a-b pruning,two,four
1680.795,a-b pruning,three,four
1659.594,a-b pruning,three,four
1667.752,a-b pruning,three,four
1705,a-b pruning,four,four
1743.826,a-b pruning,four,four
1739.064,a-b pruning,four,four
1561.656,expectimax,two,four
1581.026,expectimax,two,four
1531.822,expectimax,two,four
1687.428,expectimax,three,four
1692.37,expectimax,three,four
1712.146,expectimax,three,four
1745.518,expectimax,four,four
1720.642,expectimax,four,four
1759.918,expectimax,four,four
