scores,method,Depth,feature_val
1546.446,minimax,two,six
1512.246,minimax,two,six
1533.632,minimax,two,six
1707.968,minimax,three,six
1730.51,minimax,three,six
1678.124,minimax,three,six
1776.178,minimax,four,six
1759.204,minimax,four,six
1786.106,minimax,four,six
1522.956,a-b pruning,two,six
1560.53,a-b pruning,two,six
1517.626,a-b pruning,two,six
1711.784,a-b pruning,three,six
1731.198,a-b pruning,three,six
1680.48,a-b pruning,three,six
1775.458,a-b pruning,four,six
1769.648,a-b pruning,four,six
1755.564,a-b pruning,four,six
1524.95,expectimax,two,six
1499.476,expectimax,two,six
1497.636,expectimax,two,six
1868,expectimax,three,six
1688.006,expectimax,three,six
1728.266,expectimax,three,six
1739.192,expectimax,four,six
1741.818,expectimax,four,six
1742.374,expectimax,four,six
