scores,method,Depth,feature_val
1275,minimax,two,two
1283.616,minimax,two,two
1391.426,minimax,two,two
1378,minimax,three,two
1355.874,minimax,three,two
1328,minimax,three,two
1460,minimax,four,two
1448.594,minimax,four,two
1441.714,minimax,four,two
1159.008,a-b pruning,two,two
1163,a-b pruning,two,two
1124,a-b pruning,two,two
1125,a-b pruning,three,two
1112.724,a-b pruning,three,two
1179.256,a-b pruning,three,two
1256.284,a-b pruning,four,two
1302.186,a-b pruning,four,two
1301.666,a-b pruning,four,two
-460.456,expectimax,two,two
-515.57,expectimax,two,two
-546.086,expectimax,two,two
98.51,expectimax,three,two
163.774,expectimax,three,two
112.482,expectimax,three,two
367.11,expectimax,four,two
363.322,expectimax,four,two
390.626,expectimax,four,two
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
