win_rate,method,Depth,feature_val,scores
0.74,minimax,two,two,1275
0.74,minimax,two,two,1283.616
0.8,minimax,two,two,1391.426
0.77,minimax,three,two,1378
0.78,minimax,three,two,1355.874
0.75,minimax,three,two,1328
0.8,minimax,four,two,1460
0.79,minimax,four,two,1448.594
0.79,minimax,four,two,1441.714
0.62,a-b pruning,two,two,1159.008
0.63,a-b pruning,two,two,1163
0.61,a-b pruning,two,two,1124
0.59,a-b pruning,three,two,1125
0.61,a-b pruning,three,two,1112.724
0.64,a-b pruning,three,two,1179.256
0.65,a-b pruning,four,two,1256.284
0.69,a-b pruning,four,two,1302.186
0.68,a-b pruning,four,two,1301.666
0.18,expectimax,two,two,-460.456
0.15,expectimax,two,two,-515.57
0.16,expectimax,two,two,-546.086
0.41,expectimax,three,two,98.51
0.41,expectimax,three,two,163.774
0.41,expectimax,three,two,112.482
0.42,expectimax,four,two,367.11
0.44,expectimax,four,two,363.322
0.46,expectimax,four,two,390.626
0.88,minimax,two,four,1539.484
0.92,minimax,two,four,1598.66
0.9,minimax,two,four,1568.262
0.95,minimax,three,four,1734.632
0.91,minimax,three,four,1664.766
0.94,minimax,three,four,1713.47
0.9,minimax,four,four,1722
0.94,minimax,four,four,1775.956
0.94,minimax,four,four,1799.152
0.86,a-b pruning,two,four,1528.574
0.91,a-b pruning,two,four,1581.994
0.91,a-b pruning,two,four,1581.78
0.92,a-b pruning,three,four,1680.795
0.9,a-b pruning,three,four,1659.594
0.91,a-b pruning,three,four,1667.752
0.88,a-b pruning,four,four,1705
0.92,a-b pruning,four,four,1743.826
0.9,a-b pruning,four,four,1739.064
0.92,expectimax,two,four,1561.656
0.93,expectimax,two,four,1581.026
0.89,expectimax,two,four,1531.822
0.94,expectimax,three,four,1687.428
0.94,expectimax,three,four,1692.37
0.95,expectimax,three,four,1712.146
0.94,expectimax,four,four,1745.518
0.93,expectimax,four,four,1720.642
0.95,expectimax,four,four,1759.918
0.91,minimax,two,six,1546.446
0.89,minimax,two,six,1512.246
0.89,minimax,two,six,1533.632
0.93,minimax,three,six,1707.968
0.94,minimax,three,six,1730.51
0.9,minimax,three,six,1678.124
0.94,minimax,four,six,1776.178
0.93,minimax,four,six,1759.204
0.94,minimax,four,six,1786.106
0.9,a-b pruning,two,six,1522.956
0.91,a-b pruning,two,six,1560.53
0.88,a-b pruning,two,six,1517.626
0.93,a-b pruning,three,six,1711.784
0.95,a-b pruning,three,six,1731.198
0.92,a-b pruning,three,six,1680.48
0.92,a-b pruning,four,six,1775.458
0.91,a-b pruning,four,six,1769.648
0.92,a-b pruning,four,six,1755.564
0.91,expectimax,two,six,1524.95
0.91,expectimax,two,six,1499.476
0.89,expectimax,two,six,1497.636
0.93,expectimax,three,six,1868
0.93,expectimax,three,six,1688.006
0.95,expectimax,three,six,1728.266
0.94,expectimax,four,six,1739.192
0.94,expectimax,four,six,1741.818
0.94,expectimax,four,six,1742.374
